Metadata_plate_map_name,Metadata_cell_type,Metadata_batch_id,Metadata_Concentration_mgmL,Metadata_Concentration_ugmL,Metadata_Concentration_mM,Metadata_Concentration_uM,Metadata_Volume_uL,Metadata_Volume_nL,Metadata_Solvent,Metadata_Formula_Weight,Metadata_Molecular_Weight,Metadata_control_type,Metadata_Plate,Metadata_Well,Metadata_Site_Count,Metadata_Count_Cells,Metadata_Count_CellsIncludingEdges,Metadata_Count_Cytoplasm,Metadata_Count_Nuclei,Metadata_Count_NucleiIncludingEdges,Metadata_Object_Count,Metadata_Batch,Metadata_Media,Metadata_OASIS_ID,Metadata_PREFERRED_NAME,Metadata_Compound,Metadata_Treatment,Metadata_reference_index,n_pos_pairs,n_total_pairs,average_precision
BR00147143,U2OS,BRD-K00140312-065-01-9,0.053095,53.095,0.13704,137.04,0.12,120,DMSO,387.45,289.17,,BR00147143,A01,9,1836,2063,1836,1836,2063,1836,2025_04_14_OASIS_U2OS_Industry_Batch1,DEX,OASIS982,,OASIS982,OASIS982_DEX,-1,23,119,0.23124079017524296
BR00147143,U2OS,BRD-K73381542-001-27-9,0.007646,7.6455,0.045725,45.725,0.12,120,DMSO,167.21,167.09,,BR00147143,A02,9,2007,2237,2007,2007,2237,2007,2025_04_14_OASIS_U2OS_Industry_Batch1,DEX,OASIS1552,Phenylephrine,Phenylephrine,Phenylephrine_DEX,-1,23,119,0.30459818022032037
BR00147143,U2OS,BRD-K82795137-001-31-9,38.289,38289.0,100.0,100000.0,0.12,120,DMSO,382.89,382.14,,BR00147143,A03,9,1812,1985,1812,1812,1985,1812,2025_04_14_OASIS_U2OS_Industry_Batch1,DEX,OASIS302,Loratadine,Loratadine,Loratadine_DEX,-1,23,119,0.6356739194258156
BR00147143,U2OS,BRD-A06352418-001-30-9,0.58174,581.74,1.2333,1233.3,0.12,120,DMSO,471.69,471.31,,BR00147143,A04,9,1969,2172,1969,1969,2172,1969,2025_04_14_OASIS_U2OS_Industry_Batch1,DEX,OASIS822,Terfenadine,Terfenadine,Terfenadine_DEX,-1,23,119,0.5177822923481117
BR00147143,U2OS,BRD-U00146220-001-01-9,,,0.045725,45.725,0.12,120,DMSO,,,,BR00147143,A05,9,1956,2177,1956,1956,2177,1956,2025_04_14_OASIS_U2OS_Industry_Batch1,DEX,,,BRD-U00146220-001-01-9,BRD-U00146220-001-01-9_DEX,-1,23,119,0.13275996820315744
BR00147143,U2OS,BRD-K81473089-001-30-9,0.009066,9.0658,0.045725,45.725,0.12,120,DMSO,198.27,198.12,,BR00147143,A06,9,1916,2156,1916,1916,2156,1916,2025_04_14_OASIS_U2OS_Industry_Batch1,DEX,OASIS082,Tacrine,Tacrine,Tacrine_DEX,-1,23,119,0.21330000383861
BR00147143,U2OS,BRD-K47278471-003-31-9,1.0808,1080.8,3.7037,3703.7,0.12,120,DMSO,291.82,255.16,,BR00147143,A07,9,2033,2248,2033,2033,2248,2033,2025_04_14_OASIS_U2OS_Industry_Batch1,DEX,OASIS1006,Diphenhydramine,Diphenhydramine,Diphenhydramine_DEX,-1,23,119,0.21850144379298445
BR00147143,U2OS,BRD-K38775274-001-29-9,0.667,667.0,1.6995,1699.5,0.12,120,DMSO,392.46,392.2,,BR00147143,A08,9,2059,2305,2059,2059,2305,2059,2025_04_14_OASIS_U2OS_Industry_Batch1,DEX,,,BRD-K38775274-001-29-9,BRD-K38775274-001-29-9_DEX,-1,11,107,0.13968671077278041
BR00147143,U2OS,BRD-A36471396-001-07-9,10.372,10372.0,33.3,33300.0,0.12,120,DMSO,311.47,311.22,,BR00147143,A09,9,1845,2064,1845,1845,2064,1845,2025_04_14_OASIS_U2OS_Industry_Batch1,DEX,OASIS1187,Biperiden,Biperiden,Biperiden_DEX,-1,23,119,0.5545954782852273
BR00147143,U2OS,BRD-A99888680-001-08-9,0.058445,58.445,0.13704,137.04,0.12,120,DMSO,426.49,426.21,,BR00147143,A11,9,1913,2142,1913,1913,2142,1913,2025_04_14_OASIS_U2OS_Industry_Batch1,DEX,OASIS1369,Paliperidone,Paliperidone,Paliperidone_DEX,-1,23,119,0.17901954596435363
