Metadata_plate_map_name,Metadata_cell_type,Metadata_batch_id,Metadata_Concentration_mgmL,Metadata_Concentration_ugmL,Metadata_Concentration_mM,Metadata_Concentration_uM,Metadata_Volume_uL,Metadata_Volume_nL,Metadata_Solvent,Metadata_Formula_Weight,Metadata_Molecular_Weight,Metadata_control_type,Metadata_Plate,Metadata_Well,Metadata_Site_Count,Metadata_Count_Cells,Metadata_Count_CellsIncludingEdges,Metadata_Count_Cytoplasm,Metadata_Count_Nuclei,Metadata_Count_NucleiIncludingEdges,Metadata_Object_Count,Metadata_Batch,Metadata_Media,Metadata_OASIS_ID,Metadata_PREFERRED_NAME,Metadata_Compound,Metadata_Treatment,Metadata_reference_index,n_pos_pairs,n_total_pairs,average_precision
BR00147142,U2OS,BRD-K00140312-065-01-9,0.053095,53.095,0.13704,137.04,0.12,120,DMSO,387.45,289.17,,BR00147142,A01,9,2028,2264,2028,2028,2264,2028,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS982,,OASIS982,OASIS982_DMSO,-1,23,119,0.26657681612882766
BR00147142,U2OS,BRD-K73381542-001-27-9,0.007646,7.6455,0.045725,45.725,0.12,120,DMSO,167.21,167.09,,BR00147142,A02,9,1888,2070,1888,1888,2070,1888,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1552,Phenylephrine,Phenylephrine,Phenylephrine_DMSO,-1,23,119,0.20560882848013423
BR00147142,U2OS,BRD-K82795137-001-31-9,38.289,38289.0,100.0,100000.0,0.12,120,DMSO,382.89,382.14,,BR00147142,A03,9,1509,1654,1509,1509,1654,1509,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS302,Loratadine,Loratadine,Loratadine_DMSO,-1,23,119,0.578144837859274
BR00147142,U2OS,BRD-A06352418-001-30-9,0.58174,581.74,1.2333,1233.3,0.12,120,DMSO,471.69,471.31,,BR00147142,A04,9,1856,2073,1856,1856,2073,1856,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS822,Terfenadine,Terfenadine,Terfenadine_DMSO,-1,23,119,0.5369780752698269
BR00147142,U2OS,BRD-U00146220-001-01-9,,,0.045725,45.725,0.12,120,DMSO,,,,BR00147142,A05,9,1927,2154,1927,1927,2154,1927,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00146220-001-01-9,BRD-U00146220-001-01-9_DMSO,-1,23,119,0.15556770990758345
BR00147142,U2OS,BRD-K81473089-001-30-9,0.009066,9.0658,0.045725,45.725,0.12,120,DMSO,198.27,198.12,,BR00147142,A06,9,2055,2275,2055,2055,2275,2055,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS082,Tacrine,Tacrine,Tacrine_DMSO,-1,23,119,0.2002777673865133
BR00147142,U2OS,BRD-K47278471-003-31-9,1.0808,1080.8,3.7037,3703.7,0.12,120,DMSO,291.82,255.16,,BR00147142,A07,9,1975,2213,1975,1975,2213,1975,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1006,Diphenhydramine,Diphenhydramine,Diphenhydramine_DMSO,-1,23,119,0.20215629492381448
BR00147142,U2OS,BRD-K38775274-001-29-9,0.667,667.0,1.6995,1699.5,0.12,120,DMSO,392.46,392.2,,BR00147142,A08,9,1974,2202,1974,1974,2202,1974,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-K38775274-001-29-9,BRD-K38775274-001-29-9_DMSO,-1,11,107,0.768452380952381
BR00147142,U2OS,BRD-A36471396-001-07-9,10.372,10372.0,33.3,33300.0,0.12,120,DMSO,311.47,311.22,,BR00147142,A09,9,1940,2155,1940,1940,2155,1940,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1187,Biperiden,Biperiden,Biperiden_DMSO,-1,23,119,0.5966760994907314
BR00147142,U2OS,BRD-A99888680-001-08-9,0.058445,58.445,0.13704,137.04,0.12,120,DMSO,426.49,426.21,,BR00147142,A11,9,1941,2189,1941,1941,2189,1941,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1369,Paliperidone,Paliperidone,Paliperidone_DMSO,-1,23,119,0.22637437112861286
BR00147142,U2OS,BRD-K68867920-051-16-9,29.436,29436.0,33.333,33333.0,0.12,120,DMSO,883.09,383.17,,BR00147142,A12,9,1879,2088,1879,1879,2088,1879,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1553,,OASIS1553,OASIS1553_DMSO,-1,23,119,0.4681119162735041
BR00147142,U2OS,BRD-U00145675-001-01-9,,,0.045679,45.679,0.12,120,DMSO,,,,BR00147142,A13,9,2000,2223,2000,2000,2223,2000,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00145675-001-01-9,BRD-U00145675-001-01-9_DMSO,-1,23,119,0.706355413675455
BR00147142,U2OS,BRD-K21728777-001-03-9,0.856,856.0,1.6998,1699.8,0.12,120,DMSO,503.58,503.15,,BR00147142,A14,9,1268,1429,1268,1268,1429,1268,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-K21728777-001-03-9,BRD-K21728777-001-03-9_DMSO,-1,11,107,1.0
BR00147142,U2OS,BRD-U00146219-001-01-9,,,1.2346,1234.6,0.12,120,DMSO,,,,BR00147142,A15,9,1943,2157,1943,1943,2157,1943,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00146219-001-01-9,BRD-U00146219-001-01-9_DMSO,-1,23,119,0.2036033802343923
BR00147142,U2OS,BRD-A29485665-001-18-9,14.346,14346.0,33.333,33333.0,0.12,120,DMSO,430.37,430.06,,BR00147142,A16,9,1948,2160,1948,1948,2160,1948,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS794,Bicalutamide,Bicalutamide,Bicalutamide_DMSO,-1,23,119,0.433117656991873
BR00147142,U2OS,BRD-K53857191-001-27-9,0.056253,56.253,0.13704,137.04,0.12,120,DMSO,410.49,410.21,,BR00147142,A17,9,1874,2085,1874,1874,2085,1874,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1459,Risperidone,Risperidone,Risperidone_DMSO,-1,23,119,0.17983223906287046
BR00147142,U2OS,BRD-A97701745-001-20-9,8.2775,8277.5,33.333,33333.0,0.12,120,DMSO,248.33,248.15,,BR00147142,A18,9,1937,2150,1937,1937,2150,1937,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1433,Pindolol,Pindolol,Pindolol_DMSO,-1,23,119,0.30298367298589257
BR00147142,U2OS,BRD-K01825098-003-05-9,0.050051,50.051,0.13717,137.17,0.12,120,DMSO,364.87,328.18,,BR00147142,A19,9,1918,2117,1918,1918,2117,1918,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS084,,OASIS084,OASIS084_DMSO,-1,23,119,0.16378470796601688
BR00147142,U2OS,BRD-U00145681-001-01-9,,,0.015226,15.226,0.12,120,DMSO,,,,BR00147142,A21,9,1876,2083,1876,1876,2083,1876,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00145681-001-01-9,BRD-U00145681-001-01-9_DMSO,-1,23,119,0.21835425746468448
BR00147142,U2OS,BRD-K92441787-001-10-9,34.849,34849.0,100.0,100000.0,0.12,120,DMSO,348.49,348.21,,BR00147142,A22,9,56,62,56,56,62,56,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS742,Bexarotene,Bexarotene,Bexarotene_DMSO,-1,23,119,0.3347024884129641
BR00147142,U2OS,BRD-K74514084-001-12-9,0.006662,6.6618,0.015226,15.226,0.12,120,DMSO,437.52,437.16,,BR00147142,A23,9,1955,2166,1955,1955,2166,1955,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1488,Pazopanib,Pazopanib,Pazopanib_DMSO,-1,23,119,0.1514009326164818
BR00147142,U2OS,BRD-K00003619-001-04-9,0.011627,11.627,0.045725,45.725,0.12,120,DMSO,254.28,254.09,,BR00147142,A24,9,1904,2116,1904,1904,2116,1904,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1180,Ketoprofen,Ketoprofen,Ketoprofen_DMSO,-1,23,119,0.20363057296419126
BR00147142,U2OS,BRD-K28307902-001-28-9,0.01263,12.63,0.045725,45.725,0.12,120,DMSO,276.21,276.07,,BR00147142,B01,9,1899,2126,1899,1899,2126,1899,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS014,Flutamide,Flutamide,Flutamide_DMSO,-1,23,119,0.21729070475983528
BR00147142,U2OS,BRD-A29485665-001-18-9,0.17711,177.11,0.41152,411.52,0.12,120,DMSO,430.37,430.06,,BR00147142,B02,9,2043,2273,2043,2043,2273,2043,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS794,Bicalutamide,Bicalutamide,Bicalutamide_DMSO,-1,23,119,0.14744630099631353
BR00147142,U2OS,BRD-K22031190-001-27-9,0.92667,926.67,3.7037,3703.7,0.12,120,DMSO,250.2,250.04,,BR00147142,B03,9,1941,2172,1941,1941,2172,1941,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1097,Diflunisal,Diflunisal,Diflunisal_DMSO,-1,23,119,0.23171743248229099
BR00147142,U2OS,BRD-K47557313-001-03-9,0.751,751.0,1.7009,1700.9,0.12,120,DMSO,441.52,441.22,,BR00147142,B04,9,1960,2194,1960,1960,2194,1960,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-K47557313-001-03-9,BRD-K47557313-001-03-9_DMSO,-1,11,107,0.911046291794955
BR00147142,U2OS,BRD-U00145635-001-01-9,,,0.005075,5.0754,0.12,120,DMSO,,,,BR00147142,B05,9,1946,2168,1946,1946,2168,1946,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00145635-001-01-9,BRD-U00145635-001-01-9_DMSO,-1,23,119,0.24284690801955133
BR00147142,U2OS,BRD-U00145675-001-01-9,,,0.005075,5.0754,0.12,120,DMSO,,,,BR00147142,B06,9,1965,2189,1965,1965,2189,1965,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00145675-001-01-9,BRD-U00145675-001-01-9_DMSO,-1,23,119,0.44765758475356915
BR00147142,U2OS,BRD-U00146218-001-01-9,,,100.0,100000.0,0.12,120,DMSO,,,,BR00147142,B07,9,1558,1709,1558,1558,1709,1558,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00146218-001-01-9,BRD-U00146218-001-01-9_DMSO,-1,23,119,0.4628010183614373
BR00147142,U2OS,BRD-U00146215-001-01-9,,,100.0,100000.0,0.12,120,DMSO,,,,BR00147142,B08,3,5,5,5,5,5,5,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00146215-001-01-9,BRD-U00146215-001-01-9_DMSO,-1,22,118,0.29509877764064446
BR00147142,U2OS,BRD-K01825098-003-05-9,36.487,36487.0,100.0,100000.0,0.12,120,DMSO,364.87,328.18,,BR00147142,B09,9,1737,1861,1737,1737,1861,1737,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS084,,OASIS084,OASIS084_DMSO,-1,23,119,0.4711279201637489
BR00147142,U2OS,BRD-K00140312-065-01-9,1.4336,1433.6,3.7,3700.0,0.12,120,DMSO,387.45,289.17,,BR00147142,B10,9,1893,2099,1893,1893,2099,1893,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS982,,OASIS982,OASIS982_DMSO,-1,23,119,0.20839304244481197
BR00147142,U2OS,BRD-K59632282-001-04-9,0.552,552.0,1.7015,1701.5,0.12,120,DMSO,324.42,324.18,,BR00147142,B11,9,1937,2159,1937,1937,2159,1937,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-K59632282-001-04-9,BRD-K59632282-001-04-9_DMSO,-1,11,107,0.11001957778047392
BR00147142,U2OS,BRD-U00145680-001-01-9,,,11.1,11100.0,0.12,120,DMSO,,,,BR00147142,B12,9,1882,2090,1882,1882,2090,1882,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00145680-001-01-9,BRD-U00145680-001-01-9_DMSO,-1,23,119,0.2363693740806389
BR00147142,U2OS,BRD-U00145679-001-01-9,,,11.1,11100.0,0.12,120,DMSO,,,,BR00147142,B13,9,1196,1322,1196,1196,1322,1196,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00145679-001-01-9,BRD-U00145679-001-01-9_DMSO,-1,23,119,0.7618629656657332
BR00147142,U2OS,BRD-K74514084-001-12-9,1.6188,1618.8,3.7,3700.0,0.12,120,DMSO,437.52,437.16,,BR00147142,B14,9,1718,1902,1718,1718,1902,1718,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1488,Pazopanib,Pazopanib,Pazopanib_DMSO,-1,23,119,0.5995104325694536
BR00147142,U2OS,BRD-K70401845-001-27-9,4.3716,4371.6,11.111,11111.0,0.12,120,DMSO,393.44,393.17,,BR00147142,B16,9,1809,2008,1809,1809,2008,1809,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1472,Erlotinib,Erlotinib,Erlotinib_DMSO,-1,23,119,0.8199932233663235
BR00147142,U2OS,BRD-K01825106-001-06-9,0.15617,156.17,0.41152,411.52,0.12,120,DMSO,379.5,379.21,,BR00147142,B17,9,1951,2198,1951,1951,2198,1951,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1480,Donepezil,Donepezil,Donepezil_DMSO,-1,23,119,0.16446628167345279
BR00147142,U2OS,BRD-K51544265-001-13-9,0.022932,22.932,0.045725,45.725,0.12,120,DMSO,501.51,501.17,,BR00147142,B19,9,1902,2111,1902,1902,2111,1902,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1739,Cabozantinib,Cabozantinib,Cabozantinib_DMSO,-1,23,119,0.17246913453007554
BR00147142,U2OS,BRD-A97104540-004-17-9,0.15814,158.14,0.41152,411.52,0.12,120,DMSO,384.27,303.15,,BR00147142,B20,9,1958,2197,1958,1958,2197,1958,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1010,Fenoterol,Fenoterol,Fenoterol_DMSO,-1,23,119,0.18970983226273044
BR00147142,U2OS,BRD-A50157456-065-26-9,18.288,18288.0,33.333,33333.0,0.12,120,DMSO,548.65,225.14,,BR00147142,B21,9,1936,2177,1936,1936,2177,1936,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1283,,OASIS1283,OASIS1283_DMSO,-1,23,119,0.25238189185439436
BR00147142,U2OS,BRD-K46018455-001-31-9,0.1489,148.9,0.41152,411.52,0.12,120,DMSO,361.82,361.11,,BR00147142,B22,9,1922,2145,1922,1922,2145,1922,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS305,Bezafibrate,Bezafibrate,Bezafibrate_DMSO,-1,23,119,0.14708907803139198
BR00147142,U2OS,BRD-K93461745-003-28-9,0.057883,57.883,0.13717,137.17,0.12,120,DMSO,421.97,385.25,,BR00147142,B23,9,1873,2087,1873,1873,2087,1873,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS797,,OASIS797,OASIS797_DMSO,-1,23,119,0.17809863235499862
BR00147142,U2OS,BRD-K68867920-051-16-9,0.040379,40.379,0.045725,45.725,0.12,120,DMSO,883.09,383.17,,BR00147142,B24,9,1943,2157,1943,1943,2157,1943,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1553,,OASIS1553,OASIS1553_DMSO,-1,23,119,0.16925885351116388
BR00147142,U2OS,BRD-K46018455-001-31-9,1.3401,1340.1,3.7037,3703.7,0.12,120,DMSO,361.82,361.11,,BR00147142,C01,9,1939,2147,1939,1939,2147,1939,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS305,Bezafibrate,Bezafibrate,Bezafibrate_DMSO,-1,23,119,0.21219157578304762
BR00147142,U2OS,BRD-U00146215-001-01-9,,,3.7037,3703.7,0.12,120,DMSO,,,,BR00147142,C02,9,1904,2127,1904,1904,2127,1904,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00146215-001-01-9,BRD-U00146215-001-01-9_DMSO,-1,22,118,0.15990356630758226
BR00147142,U2OS,BRD-K74514084-001-12-9,14.569,14569.0,33.3,33300.0,0.12,120,DMSO,437.52,437.16,,BR00147142,C04,9,1166,1298,1166,1166,1298,1166,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1488,Pazopanib,Pazopanib,Pazopanib_DMSO,-1,23,119,0.45324085317944063
BR00147142,U2OS,BRD-K01825106-001-06-9,37.95,37950.0,100.0,100000.0,0.12,120,DMSO,379.5,379.21,,BR00147142,C05,9,879,950,879,879,950,879,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1480,Donepezil,Donepezil,Donepezil_DMSO,-1,23,119,0.5655916191494801
BR00147142,U2OS,BRD-K28307902-001-28-9,27.622,27622.0,100.0,100000.0,0.12,120,DMSO,276.21,276.07,,BR00147142,C06,9,1992,2202,1992,1992,2202,1992,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS014,Flutamide,Flutamide,Flutamide_DMSO,-1,23,119,0.4498835015508946
BR00147142,U2OS,BRD-K93461745-003-28-9,0.019294,19.294,0.045725,45.725,0.12,120,DMSO,421.97,385.25,,BR00147142,C07,9,1937,2142,1937,1937,2142,1937,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS797,,OASIS797,OASIS797_DMSO,-1,23,119,0.22538627409021375
BR00147142,U2OS,BRD-U00145635-001-01-9,,,0.13704,137.04,0.12,120,DMSO,,,,BR00147142,C08,9,1765,1964,1765,1765,1964,1765,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00145635-001-01-9,BRD-U00145635-001-01-9_DMSO,-1,23,119,0.2404147945123197
BR00147142,U2OS,BRD-U00146216-001-01-9,,,33.333,33333.0,0.12,120,DMSO,,,,BR00147142,C09,9,1850,2046,1850,1850,2046,1850,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00146216-001-01-9,BRD-U00146216-001-01-9_DMSO,-1,23,119,0.39762902246983656
BR00147142,U2OS,BRD-U00145679-001-01-9,,,3.7,3700.0,0.12,120,DMSO,,,,BR00147142,C10,9,1304,1455,1304,1304,1455,1304,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00145679-001-01-9,BRD-U00145679-001-01-9_DMSO,-1,23,119,0.7917106157952177
BR00147142,U2OS,BRD-U00145681-001-01-9,,,11.1,11100.0,0.12,120,DMSO,,,,BR00147142,C11,9,1894,2099,1894,1894,2099,1894,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00145681-001-01-9,BRD-U00145681-001-01-9_DMSO,-1,23,119,0.48479467154791933
BR00147142,U2OS,BRD-U00146218-001-01-9,,,0.13717,137.17,0.12,120,DMSO,,,,BR00147142,C13,9,1513,1670,1513,1513,1670,1513,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00146218-001-01-9,BRD-U00146218-001-01-9_DMSO,-1,23,119,0.17673469326315133
BR00147142,U2OS,BRD-U00145680-001-01-9,,,0.13704,137.04,0.12,120,DMSO,,,,BR00147142,C14,9,1893,2105,1893,1893,2105,1893,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00145680-001-01-9,BRD-U00145680-001-01-9_DMSO,-1,23,119,0.2193118802064888
BR00147142,U2OS,BRD-K01826056-003-03-9,6.8547,6854.7,33.333,33333.0,0.12,120,DMSO,205.64,169.07,,BR00147142,C15,9,1480,1651,1480,1480,1651,1480,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1115,,OASIS1115,OASIS1115_DMSO,-1,23,119,0.4440082090771798
