Metadata_Treatment,Metadata_reference_index,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p,-log10(p-value)
BRD-K21728777-001-03-9_DMSO,-1,0.98317784908694,"[12, 60, 160, 197, 397, 448, 574, 582, 710, 868, 888, 890]",9.99999000001e-07,1.5999984000016e-05,True,True,4.7958804516383395
BRD-K28132190-001-02-0_DMSO,-1,0.9982031857031858,"[99, 151, 295, 328, 462, 521, 613, 636, 727, 773, 904, 1008]",9.99999000001e-07,1.5999984000016e-05,True,True,4.7958804516383395
BRD-K38775274-001-29-9_DMSO,-1,0.5609573338544102,"[7, 95, 112, 347, 418, 501, 563, 609, 758, 854, 1032, 1041]",1.2999987000013e-05,7.799992200007801e-05,True,True,4.107905831603785
BRD-K47557313-001-03-9_DMSO,-1,0.8481300125380148,"[25, 153, 162, 195, 386, 475, 559, 640, 707, 830, 902, 999]",9.99999000001e-07,1.5999984000016e-05,True,True,4.7958804516383395
BRD-K58550667-001-12-9_DMSO,-1,0.2007341099640815,"[124, 204, 221, 251, 357, 416, 495, 525, 777, 804, 976, 987]",0.11747988252011748,0.19444946072295308,False,False,0.711193256966871
BRD-K59632282-001-04-9_DMSO,-1,0.27131256804703835,"[32, 70, 84, 288, 534, 652, 675, 698, 752, 791, 826, 947]",0.025562974437025564,0.06135113864886135,True,False,1.2121773725567266
BRD-K89517477-001-03-9_DMSO,-1,0.3823402671584551,"[233, 256, 282, 345, 353, 431, 532, 621, 874, 944, 1012, 1051]",0.001703998296001704,0.00653907038400654,True,True,2.1844839880354394
BRD-K91188791-001-17-5_DMSO,-1,0.373078382926381,"[58, 207, 264, 313, 377, 450, 667, 683, 740, 840, 935, 959]",0.002177997822002178,0.007467421104007466,True,True,2.1268293571771597
BRD-U00145635-001-01-9_DMSO,-1,0.21796304337500103,"[26, 50, 92, 137, 237, 307, 319, 343, 360, 408, 470, 506, 548, 552, 589, 695, 746, 776, 802, 829, 898, 954, 968, 1014]",0.47663152336847664,0.5084069582597084,False,False,0.29378851415045426
BRD-U00145675-001-01-9_DMSO,-1,0.5209586317770979,"[11, 27, 91, 139, 181, 235, 254, 320, 372, 379, 402, 453, 544, 594, 656, 668, 724, 749, 785, 847, 883, 964, 996, 1043]",1.8999981000019e-05,0.00010133323200010133,True,True,3.9942481054051733
